I8547  COMUNICACION Y TECNOLOGIAS DE LA INFORMACION
ET200  COMUNICACIONES I
ET302  COMUNICACIONES II
CB159  CONCEPTOS DE CALCULO DIFERENCIAL E INTEGRAL
I5101  CONCEPTOS FISCALES FUNDAMENTALES
I5083  CONCEPTOS JURIDICOS FUNDAMENTALES
D1131  CONCURSOS MERCANTILES
DV117  CONDOMINIO
SDV17  CONDOMINIO
ED103  CONDUCCION DE VEHICULOS DE URGENCIA
MN107  CONDUCTA DEL CONSUMIDOR
AG168  CONSERVACION DE GRANOS Y ALIMENTOS
AG151  CONSERVACION DE RECURSOS NATURALES
I9511  CONSERVACION DE RECURSOS NATURALES
AG143  CONSTRUCCIONES AGROINDUSTRIALES
I9504  CONSTRUCCIONES E INSTALACIONES PECUARIAS
CT130  CONSTRUCTORAS E INMOBILIARIAS
I9424  CONTABILIDAD
CB160  CONTABILIDAD
P0021  CONTABILIDAD ADMINISTRATIVA
CT102  CONTABILIDAD ADMINISTRATIVA
CT504  CONTABILIDAD ADMINISTRATIVA
D0842  CONTABILIDAD ADMINISTRATIVA
I5119  CONTABILIDAD ADMINISTRATIVA
PS121  CONTABILIDAD AGROPECUARIA
DS113  CONTABILIDAD APLICADA AL DERECHO
SDS13  CONTABILIDAD APLICADA AL DERECHO
I5120  CONTABILIDAD DE COSTOS
CT115  CONTABILIDAD DE COSTOS I
CT503  CONTABILIDAD FINANCIERA Y DE COSTOS
D0840  CONTABILIDAD FINANCIERA Y DE COSTOS
I5086  CONTABILIDAD GENERAL
CT114  CONTABILIDAD GUBERNAMENTAL
CT100  CONTABILIDAD I
CT101  CONTABILIDAD II
CT103  CONTABILIDAD III
MN145  CONTABILIDAD INTERNACIONAL
I5341  CONTABILIDAD INTERNACIONAL Y MONEDA EXTRANJERA
CT104  CONTABILIDAD IV
EN103  CONTABILIDAD NACIONAL
CT105  CONTABILIDAD V
CT106  CONTABILIDAD VI
CT107  CONTABILIDAD VII
