MP101  IMPUESTOS II
P0043  IMPUESTOS II
MP102  IMPUESTOS III
P0047  IMPUESTOS III
MP103  IMPUESTOS IV
P0051  IMPUESTOS IV
MP104  IMPUESTOS V
MP105  IMPUESTOS VI
SI107  INFORMATICA BASICA
CB217  INGENIERIA AMBIENTAL
CB218  INGENIERIA DE ALIMENTOS
CB219  INGENIERIA DE BIOPROCESOS
CB220  INGENIERIA DE BIORRACTORAS
IM429  INGENIERIA DE CALIDAD
ET224  INGENIERIA DE CONTROL
CB221  INGENIERIA DE COSTOS
ID306  INGENIERIA DE COSTOS
CB222  INGENIERIA DE ESTANDARES DE TRABAJO
