AV280  ACRILICO
MC553  ESTADISTICA (N)
FM105  ESTADISTICA AVANZADA
MC106  ESTADISTICA I
MC107  ESTADISTICA II
MC108  ESTADISTICA III
FS103  ESTATICA
TH112  ESTETICA
MN577  ESTRATEGIA DE NEGOCIOS (N)
CM517  ESTRATEGIAS DIDACTICAS PARA LA CLARIFICACION DE VALORES AMBIENTALES
P0054  ESTRATEGIAS FINANCIERAS DE LA EMPRESA
CC204  ESTRUCTURA DE ARCHIVOS
CC202  ESTRUCTURA DE DATOS
IF125  ESTRUCTURA DE DATOS
AC509  ESTRUCTURA DEL ESPACIO TURISTICO: PLANEACION PROSPECTIVA
TC113  ESTRUCTURAS I
TC114  ESTRUCTURAS II
IT311  ESTRUCTURAS ISOSTATICAS
PU171  ESTUDIO DE CENTROS URBANOS
SP103  ESTUDIO Y PROMOCION DE LA SALUD FAMILIAR
AC506  ESTUDIOS DE MERCADO
DD109  ETICA JURIDICA
CT113  ETICA PROFESIONAL
ID220  ETICA PROFESIONAL
RH112  ETICA PROFESIONAL Y VALORES SOCIALES
IF148  ETICA Y COMPORTAMIENTO HUMANO EN LAS ORGANIZACIONES
H0003  ETICA Y EDUCACION
MU236  ETNOMUSICOLOGIA
AU511  EVALUACION CORPORATIVA (N)
SCJ78  EVALUACION DE CENTROS EDUCATIVOS Y PROGRAMAS A DISTANCIA Y EN LINEA
AEC16  EVALUACION DE INTERVENCION EDUCATIVA
AEE15  EVALUACION DE LA ANIMACION SOCIOCULTURAL Y BICULTURAL
AEE58  EVALUACION DE LA EDUCACION DE INFRACTORES
AEE23  EVALUACION DE LA EDUCACION DE LA EDUCACION AMBIENTAL
AEE31  EVALUACION DE LA EDUCACION DE LA EDUCACION ARTISTICA
AEE35  EVALUACION DE LA EDUCACION DE LA EDUCACION EN LENGUAS
AEE27  EVALUACION DE LA EDUCACION DE LA EDUCACION FISICA
AEE54  EVALUACION DE LA EDUCACION NI~OS DE LA CALLE
AEE19  EVALUACION DE LA EDUCACION PARA LA SALUD
AEE11  EVALUACION DE LA GESTION Y ADMINISTRACION EDUCATIVA
SCJ82  EVALUACION DE PROCESOS DE APRENDIZAJE EN LA EDUCACION A DISTANCIA Y EN LINEA
IN154  EVALUACION DE PROYECTOS
MN585  EVALUACION DE PROYECTOS DE INVERSION
EN130  EVALUACION DE PROYECTOS I
AC507  EVALUACION DE RECURSOS TURISTICOS: CENTROS TURISTICOS TRADICIONALES
PA107  EVALUACION EDUCATIVA
AEC09  EVALUACION EDUCATIVA
NC108  EVALUACION NEUROPSICOLOGICA Y REHABILITACION
TR114  EVALUACION SOCIAL DE PROYECTOS I
IN143  EVALUACION Y PROGRAMACION DE OBRAS
PA108  EVALUACION, DIAGNOSTICO Y SELECCION EN LA PSICOLOGIA DEL TRABAJO
CM504  EVOLUCION HISTORICA DE LAS RELACIONES SOCIEDAD-NATURALEZA
RE101  EXPRESION ARQUITECTONICA I
RE102  EXPRESION ARQUITECTONICA II
RE113  EXPRESION GRAFICA I
RE114  EXPRESION GRAFICA II
RE115  EXPRESION GRAFICA III
RE116  EXPRESION GRAFICA IV
RE117  EXPRESION GRAFICA V
RE118  EXPRESION GRAFICA VI
RE119  EXPRESION GRAFICA VII
RE120  EXPRESION GRAFICA VIII
FN131  FACTORAJE FINANCIERO
P0076  FACTORES DEL DESARROLLO COGNITIVO
DV108  FAMILIA
FS106  FENOMENOS TERMICOS
IT491  FERROCARRILES
FM107  FILOSOFIA
DD110  FILOSOFIA DEL DERECHO
DD117  FILOSOFIA I
DD125  FILOSOFIA II
DD126  FILOSOFIA III
DD127  FILOSOFIA IV
DD128  FILOSOFIA V
P0064  FINANCIAMIENTO DEL COMERCIO INTERNACIONAL
P0056  FINANZAS CORPORATIVAS
FN110  FINANZAS I
FN112  FINANZAS II
FN102  FINANZAS III
CP170  FINANZAS III (r)
FN511  FINANZAS INTERNACIONALES
P0070  FINANZAS INTERNACIONALES
MN144  FINANZAS INTERNACIONALES
FN103  FINANZAS IV
CP171  FINANZAS IV (r)
FN116  FINANZAS PUBLICAS I
FN104  FINANZAS V
FN105  FINANZAS VI
FN106  FINANZAS VII
FN107  FINANZAS VIII
IF115  FISICA
MA501  FISICA DEL INTERIOR DE LA TIERRA
IN107  FISICA I
IN108  FISICA II
IN109  FISICA III
IN110  FISICA IV
TR115  FOLKLORE DE MEXICO
PC502  FORMACION BASICA CLINICA EN TERAPIA FAMILIAR SISTEMICA
PC500  FORMACION BASICA TEORICA EN TERAPIA FAMILIAR SISTEMICA
PC501  FORMACION BASICA TEORICO PRACTICA EN TERAPIA FAMILIAR SISTEMICA
RH108  FORMACION Y DESARROLLO DE RECURSOS HUMANOS
AC522  FORMULACION Y EVALUACION DE PROYECTOS DE INVERSION
AD130  FORMULACION Y EVALUACION DE PROYECTOS DE INVERSION
