DP115  CRIMINOLOGIA
D1153  CRIMINOLOGIA GENERAL
DP503  CRIMINOLOGIA I
DP504  CRIMINOLOGIA II
I8461  CRITICA DE LA PRODUCCION AUDIOVISUAL
I8855  CUIDADO ALIMENTARIO NUTRICIO EN EL ADULTO Y ANCIANO ENFERMO
I8857  CUIDADO ALIMENTARIO NUTRICIO EN EL NIÑO Y ADOLESCENTE ENFERMO
I8849  CUIDADO ALIMENTARIO NUTRICIO EN LA ACTIVIDAD FISICA Y EL DEPORTE
I8880  CUIDADO ALIMENTARIO NUTRICIO EN TRASTORNOS DE CONDUCTA ALIMENTARIA
I6680  CULTIVO CELULAR
I2198  CULTIVO DE TEJIDOS VEGETALES
I6665  CULTIVO DE TEJIDOS VEGETALES
I2088  CULTIVOS ALTERNATIVOS
D1524  CURSO TALLER DE METODOLOGIA APLICADA
D1522  CURSO TALLER DE METODOLOGIA DE LA INVESTIGACION
D1523  CURSO TALLER DE METODOLOGIA DE PROYECTOS
MH104  DANZA Y MOVIMIENTO LIBRE
D0045  DEBATE CONTEMPORANEO SOBRE SISTEMAS DE GOBIERNO
D1069  DELITOS AMBIENTALES
DP112  DELITOS ESPECIALES
D1154  DELITOS ESPECIALES
EK126  DEONTOLOGIA DEL PERIODISMO
D1113  DEONTOLOGIA JURIDICA
I8434  DEONTOLOGIA PERIODISTICA
EK131  DERECHO A LA INFORMACION
I8438  DERECHO A LA INFORMACION
D1170  DERECHO A LA INFORMACION
D1102  DERECHO ADMINISTRATIVO DE LOS TRABAJADORES
DP121  DERECHO ADUANERO
DP133  DERECHO ADUANERO
D1084  DERECHO ADUANERO
DS104  DERECHO AGRARIO
D1034  DERECHO AGRARIO
DS504  DERECHO AGRARIO I
DS505  DERECHO AGRARIO II
D1038  DERECHO AMBIENTAL I
D1070  DERECHO AMBIENTAL II
DS107  DERECHO BUROCRATICO
D1098  DERECHO BUROCRATICO
DV119  DERECHO CANONICO
DS119  DERECHO CASTRENSE
CJ101  DERECHO CIVIL
D1031  DERECHO CIVIL I
D1039  DERECHO CIVIL II
D1040  DERECHO CIVIL III
D1041  DERECHO CIVIL IV
D1042  DERECHO CIVIL V
DV503  DERECHO CIVIL Y FINANCIERO I
DV504  DERECHO CIVIL Y FINANCIERO II
DS102  DERECHO COLECTIVO DEL TRABAJO
D1048  DERECHO COLECTIVO DEL TRABAJO
DD111  DERECHO COMPARADO
D1171  DERECHO CONCURSAL
CJ100  DERECHO CONSTITUCIONAL
DP100  DERECHO CONSTITUCIONAL
EK104  DERECHO CONSTITUCIONAL
D1018  DERECHO CONSTITUCIONAL
D1118  DERECHO CONSTITUCIONAL COMPARADO
DP505  DERECHO CONSTITUCIONAL Y AMPARO I
DP506  DERECHO CONSTITUCIONAL Y AMPARO II
DP122  DERECHO CONSULAR
DP136  DERECHO CONSULAR
D1045  DERECHO CONTENCIOSO ADMINISTRATIVO
I3775  DERECHO CONTENCIOSO ADMINISTRATIVO
D0852  DERECHO CORPORATIVO
D1081  DERECHO CORPORATIVO
DV505  DERECHO CORPORATIVO I
DV506  DERECHO CORPORATIVO II
DV113  DERECHO DE AUTOR
D1086  DERECHO DE LA ADMINISTRACION  PUBLICA FEDERAL
D1087  DERECHO DE LA ADMINISTRACION PUBLICA ESTATAL
D1046  DERECHO DE LA SEGURIDAD SOCIAL
D1147  DERECHO DE LA UNION EUROPEA
D1146  DERECHO DE PROPIEDAD INDUSTRIAL
DP108  DERECHO DEL COMERCIO INTERNACIONAL
D1082  DERECHO DEL COMERCIO INTERNACIONAL
D1150  DERECHO DIPLOMATICO Y CONSULAR
DP129  DERECHO ECOLOGICO
DS116  DERECHO ECOLOGICO
DD106  DERECHO ECONOMICO
D1025  DERECHO ECONOMICO I
D1083  DERECHO ECONOMICO II
D1061  DERECHO ELECTORAL MEXICANO
D1074  DERECHO FAMILIAR
CJ105  DERECHO FISCAL
DS118  DERECHO FISCAL
I5117  DERECHO FISCAL
D1047  DERECHO FISCAL I
D1090  DERECHO FISCAL II
CJ106  DERECHO I
CJ109  DERECHO II
DS101  DERECHO INDIVIDUAL DEL TRABAJO
